product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Methylcobalamin Pure,12.45,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/methylcobalamin
Vitamin D3 5000IU Olive Oil (Soy Free) Softgels,0.121,PureBulk,NONE,"[""NO-FILLERS"", ""PURE"", ""SOY-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/vitamin-d3-5000iu-softgels
Calcium Lactate Gluconate Bulk,0.049,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-lactate-gluconate-bulk
Piperine 95% (Black Pepper Extract),1.075,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/piperine-95-black-pepper-extract
L-Glutamine,0.07,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-glutamine
Magnesium Hydroxide (USA),0.035,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-hydroxide
Potassium L-Aspartate,0.1025,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/potassium-l-aspartate
Calcium Citrate (USA) Powder Bulk 25kg,0.035,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-citrate-usa-bulk
Copper Gluconate Powder Pure,0.11,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/copper-gluconate-pure
Magnesium Gluconate,0.0895,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-gluconate
Ascorbic Acid (Vitamin C) Powder,0.0299,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-GMO"", ""NON-HEME"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/ascorbic-acid-vitamin-c
Pea Protein 80%,0.0405,PureBulk,NONE,"[""BSE-TSE-FREE"", ""GLUTEN-FREE"", ""NO-FILLERS"", ""NON-DAIRY"", ""NON-ESSENTIAL"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pea-protein-powder
Coenzyme Q10 (CoQ10) Powder Bulk 5kg,0.315,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/coenzyme-q10-coq10-bulk
Niacinamide Powder (Vitamin B3) Bulk,0.0212,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/niacinamide-powder-vitamin-b3-bulk
L-Citrulline DL-Malate (2:1) Powder,0.065,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-citrulline-dl-malate-2-1
L-Methionine,0.065,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-methionine
Para-Amino Benzoic Acid (PABA) (Vitamin B10) Bulk 25kg,0.0525,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/para-amino-benzoic-acid-paba-vitamin-b10-bulk
